city,country
El Tarter,Andorra
Sant Julia de Loria,Andorra
Pas de la Casa,Andorra
Ordino,Andorra
les Escaldes,Andorra
la Massana,Andorra
Encamp,Andorra
Canillo,Andorra
Arinsal,Andorra
Andorra la Vella,Andorra
Umm al Qaywayn,United Arab Emirates
Ras al-Khaimah,United Arab Emirates
Muzayri`,United Arab Emirates
Khawr Fakkan,United Arab Emirates
Dubai,United Arab Emirates
Dibba Al-Fujairah,United Arab Emirates
Dibba Al-Hisn,United Arab Emirates
Sharjah,United Arab Emirates
Ar Ruways,United Arab Emirates
Al Fujayrah,United Arab Emirates
Al Ain,United Arab Emirates
Ajman,United Arab Emirates
Adh Dhayd,United Arab Emirates
Abu Dhabi,United Arab Emirates
Zorkot,Afghanistan
Wuleswali Bihsud,Afghanistan
Kuhsan,Afghanistan
Lash,Afghanistan
Tukzar,Afghanistan
Miray,Afghanistan
Aq Kupruk,Afghanistan
Zurmat,Afghanistan
Zaybak,Afghanistan
Ziarat-e Shah Maqsud,Afghanistan
Zindah Jan,Afghanistan
Zarghun Shahr,Afghanistan
Zarah Sharan,Afghanistan
Zaranj,Afghanistan
Zamto Kelay,Afghanistan
Yangi Qal`ah,Afghanistan
Yahya Khel,Afghanistan
Washer,Afghanistan
Tormay,Afghanistan
Tulak,Afghanistan
Titan,Afghanistan
Tir Pul,Afghanistan
Taywarah,Afghanistan
Bazar-e Tashkan,Afghanistan
Tarinkot,Afghanistan
Taloqan,Afghanistan
Tagaw-Bay,Afghanistan
Tagab,Afghanistan
Markaz-e Hukumat-e Sultan-e Bakwah,Afghanistan
Spin Boldak,Afghanistan
Sperah,Afghanistan
Sozmah Qal`ah,Afghanistan
Siyahgird,Afghanistan
Sheywah,Afghanistan
Shindand,Afghanistan
Shaykh Amir Kelay,Afghanistan
Qashqal,Afghanistan
Shibirghan,Afghanistan
Shwak,Afghanistan
Shahr-e Safa,Afghanistan
Shahran,Afghanistan
Shahrak,Afghanistan
`Alaqahdari Shah Joy,Afghanistan
Wuleswali Sayyid Karam,Afghanistan
Markaz-e Sayyidabad,Afghanistan
Sayad,Afghanistan
Sidqabad,Afghanistan
Sayagaz,Afghanistan
Sar-e Tayghan,Afghanistan
Sarobi,Afghanistan
Sar Kani,Afghanistan
Sarfiraz Kala,Afghanistan
Sar-e Pul,Afghanistan
Sar Chakan,Afghanistan
Sangin,Afghanistan
Sang-e Mashah,Afghanistan
Sang-e Charak,Afghanistan
Sang Atesh,Afghanistan
Sangar Saray,Afghanistan
Aibak,Afghanistan
Ru-ye Sang,Afghanistan
Rudbar,Afghanistan
Rustaq,Afghanistan
Rabat-e Sangi-ye Pa'in,Afghanistan
Ramak,Afghanistan
Qurghan,Afghanistan
Quchanghi,Afghanistan
Sangalak-i-Kaisar,Afghanistan
Qarqin,Afghanistan
Qarghah'i,Afghanistan
Qarchi Gak,Afghanistan
Qarawul,Afghanistan
Qarah Bagh,Afghanistan
Qarah Bagh,Afghanistan
Qala i Naw,Afghanistan
Qal`ah-ye Kuf,Afghanistan
Qal`ah-ye Kuhnah,Afghanistan
Qal`ah-ye Shahr,Afghanistan
Qalat,Afghanistan
Qal`ah-ye Shahi,Afghanistan
Qadis,Afghanistan
Parun,Afghanistan
Pul-e Khumri,Afghanistan
Pul-e `Alam,Afghanistan
Pasnay,Afghanistan
Pashmul,Afghanistan
Pasaband,Afghanistan
Panjab,Afghanistan
Paghman,Afghanistan
Omnah,Afghanistan
Qaryeh-ye Owbeh,Afghanistan
Uruzgan,Afghanistan
Urgun,Afghanistan
Nusay,Afghanistan
Nurgal,Afghanistan
Now Zad,Afghanistan
Nili,Afghanistan
Nayak,Afghanistan
Nayak,Afghanistan
Now Dahanak,Afghanistan
Okak,Afghanistan
Naray,Afghanistan
Narang,Afghanistan
Nikeh,Afghanistan
Nahrin,Afghanistan
Hukumat-e Nad `Ali,Afghanistan
Musa Qal`ah,Afghanistan
Bala Murghab,Afghanistan
Muqer,Afghanistan
Muhammad Aghah Wuluswali,Afghanistan
Mizan `Alaqahdari,Afghanistan
Mir Bachah Kot,Afghanistan
Miran,Afghanistan
Mirabad,Afghanistan
Maymana,Afghanistan
Maidan Khulah,Afghanistan
Mingajik,Afghanistan
Mehtar Lam,Afghanistan
Mazar-e Sharif,Afghanistan
Maymay,Afghanistan
Muta Khan,Afghanistan
Mashhad,Afghanistan
Mardian,Afghanistan
Mandol,Afghanistan
Mama Khel,Afghanistan
Lashkar Gah,Afghanistan
Lash-e Juwayn,Afghanistan
Larkird,Afghanistan
La`l,Afghanistan
Kushk,Afghanistan
Kotowal,Afghanistan
Kushk-e Kuhnah,Afghanistan
`Alaqahdari Kiran wa Munjan,Afghanistan
Kunduz,Afghanistan
Khoshi,Afghanistan
Khoshamand,Afghanistan
Khwajah Ghar,Afghanistan
Khwajah Du Koh,Afghanistan
Deh Khwahan,Afghanistan
Khulbisat,Afghanistan
Khugyani,Afghanistan
Khost,Afghanistan
Khulm,Afghanistan
Khudaydad Khel,Afghanistan
Khinjan,Afghanistan
Khinj,Afghanistan
Khash,Afghanistan
Khan Neshin,Afghanistan
Khanaqah,Afghanistan
Chahar Bagh,Afghanistan
Khandud,Afghanistan
Khanaqah,Afghanistan
Khanabad,Afghanistan
Khamyab,Afghanistan
Khakiran,Afghanistan
Kazhah,Afghanistan
Kishk-e Nakhud,Afghanistan
Karukh,Afghanistan
Kanday,Afghanistan
Kandahar,Afghanistan
Kalan Deh,Afghanistan
Kalakan,Afghanistan
Kalafgan,Afghanistan
Kajran,Afghanistan
Kai,Afghanistan
Kabul,Afghanistan
Jurm,Afghanistan
Jawand,Afghanistan
Jani Khel,Afghanistan
Jalrez,Afghanistan
Jalalabad,Afghanistan
Jabal os Saraj,Afghanistan
Hukumat-e Shinkai,Afghanistan
Herat,Afghanistan
Haji Khel,Afghanistan
Hafiz Moghul,Afghanistan
Khafizan,Afghanistan
Guzarah,Afghanistan
Goshtah,Afghanistan
Gomal Kelay,Afghanistan
`Alaqahdari Gelan,Afghanistan
Ghoriyan,Afghanistan
Ghormach,Afghanistan
Ghurayd Gharame,Afghanistan
Ghazni,Afghanistan
Gereshk,Afghanistan
Gardez,Afghanistan
Fayzabad,Afghanistan
Faizabad,Afghanistan
Fayzabad,Afghanistan
Qal`ah-ye Farsi,Afghanistan
Farkhar,Afghanistan
Farah,Afghanistan
Istalif,Afghanistan
Kafir Qala,Afghanistan
Injil,Afghanistan
